type_id,is_buy_order,price,system_id,volume_remain,order_count_history,volume_history,typeName,categoryID,categoryName,groupID,groupName,primaryIndex,subIndex,jita_price,buysell_difference,buysell_percentage,formula
5361,False,65000.0,30002187,8,57,110,Deluge Enduring Burst Jammer,7,Module,80,Burst Jammer,Consumer Price Index,,5489.0,59511.0,1084.186554928038,14907.565130260524
5361,False,2331.0,30002659,71,95,141,Deluge Enduring Burst Jammer,7,Module,80,Burst Jammer,Consumer Price Index,,5489.0,3158.0,57.53324831481144,114.2561691885692
5361,False,19990.0,30002053,61,7,8,Deluge Enduring Burst Jammer,7,Module,80,Burst Jammer,Consumer Price Index,,5489.0,14501.0,264.18291127709966,34.646939183881926
5361,False,55420.0,30002510,15,17,24,Deluge Enduring Burst Jammer,7,Module,80,Burst Jammer,Consumer Price Index,,5489.0,49931.0,909.6556749863364,1455.4490799781383
5363,False,6900.0,30002659,172,97,150,Rash Compact Burst Jammer,7,Module,80,Burst Jammer,Consumer Price Index,,8448.0,1548.0,18.323863636363637,15.980113636363637
5363,False,11990.0,30002053,45,7,7,Rash Compact Burst Jammer,7,Module,80,Burst Jammer,Consumer Price Index,,8448.0,3542.0,41.92708333333333,6.5219907407407405
5363,False,55420.0,30002510,14,16,21,Rash Compact Burst Jammer,7,Module,80,Burst Jammer,Consumer Price Index,,8448.0,46972.0,556.0132575757576,834.0198863636364
5365,False,1777.0,30002659,44,73,163,Cetus Scoped Burst Jammer,7,Module,80,Burst Jammer,Consumer Price Index,,10260.0,8483.0,82.68031189083821,306.2929735956052
5399,False,20500.0,30002187,155,368,1259,J5 Enduring Warp Disruptor,7,Module,52,Warp Scrambler,Consumer Price Index,,20170.0,330.0,1.636093207734259,13.28929902282214
5399,False,16250.0,30002659,202,194,384,J5 Enduring Warp Disruptor,7,Module,52,Warp Scrambler,Consumer Price Index,,20170.0,3920.0,19.43480416460089,36.945370293102684
