date,quantity,type,unit_price,total,client,where
2022.11.08 19:47,1,Hornet EC-300,"6,009 ISK","-6,009 ISK",VanderBijl,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:43,1,Deluge Enduring Burst Jammer,"5,504 ISK","-5,504 ISK",Sot Fenix,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:43,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Sot Fenix,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:39,1,F-90 Compact Sensor Booster,"3,197 ISK","-3,197 ISK",Jakob Smith's,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:19,450,Caldari Navy Inferno Rocket,622 ISK,"-279,900 ISK",Antony Parker,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:12,140,Caldari Navy Inferno Rocket,622 ISK,"-87,080 ISK",Samhael,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:05,1,Gamma S,"3,128 ISK","-3,128 ISK",Oberon Harkonen,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:04,2,Gamma S,"3,128 ISK","-6,256 ISK",Xcorphius,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 19:04,1,Gamma S,"3,128 ISK","-3,128 ISK",Xcorphius,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 18:35,1,Gamma S,"3,128 ISK","-3,128 ISK",Kammer Zwei,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 18:23,1,Gamma S,"3,128 ISK","-3,128 ISK",Pomana Kumamato,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 18:15,1,Standard L,"20,080 ISK","-20,080 ISK",Bhothur Ezion Nahrnid,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 18:14,1,Gamma S,"3,128 ISK","-3,128 ISK",Bhothur Ezion Nahrnid,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 18:13,1,Talocan Automation Accounts,"3,014 ISK","-3,014 ISK",David Xavier Rothchild,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 18:12,3,Standard L,"20,080 ISK","-60,240 ISK",Jill Taylor,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 18:06,1,Gamma S,"3,128 ISK","-3,128 ISK",Nick Simper,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 18:05,100,Caldari Navy Inferno Rocket,622 ISK,"-62,200 ISK",Jakob Smith's,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 18:04,2,Talocan Automation Accounts,"3,014 ISK","-6,028 ISK",Nodonn Jai,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 17:47,1,Gamma S,"3,128 ISK","-3,128 ISK",Grivo Niro,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 17:44,163,Gamma S,"3,128 ISK","-509,864 ISK",Guess whop,Jita IV - Moon 4 - Caldari Navy Assembly Plant
2022.11.08 17:31,300,Evasive Maneuvers Charge,404 ISK,"-121,200 ISK",Iliandr Rider,Jita IV - Moon 4 - Caldari Navy Assembly Plant
